*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=board_v1_fill
*Date=11:29:21
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;24.6225;-60.9544;-90;Bottom;J2
2;;;31.6738;-49.0394;0;Bottom;Copper Fill16
3;;;52.0173;-58.6661;-90;Bottom;TXT1
4;;;37.846;-50.3094;0;Bottom;Copper Fill18
5;;;8.4836;-12.146;0;Bottom;Copper Fill36
6;;THT;14.4625;-60.9544;-90;Bottom;sw_bat
7;;;30.9507;-17.9201;0;Bottom;TXT1
8;;;47.8282;-47.6932;0;Bottom;Copper Fill20
9;;THT;38.5925;-3.16937;90;Bottom;com
10;;;30.1609;-20.0664;0;Bottom;TXT1
11;;;57.3278;-8.33601;0;Bottom;Copper Fill11
12;;;43.0022;-51.808;0;Bottom;Copper Fill2
13;;THT;24.6225;-10.7894;90;Bottom;J1
14;;;16.9545;-29.0497;0;Bottom;Copper Fill27
15;;;60.8176;-60.9544;0;Bottom;Hole1
16;;;48.0314;-41.648;0;Bottom;Copper Fill21
17;;;37.3993;-6.00206;-90;Bottom;TXT1
18;;;54.708;-49.9811;0;Bottom;TXT1
19;;;52.832;-46.2962;0;Bottom;Copper Fill15
20;;;35.4175;-59.6844;0;Bottom;LiPo Battery 1100 mAh2
21;;;16.1036;-29.8752;0;Bottom;Copper Fill7
22;;THT;58.2775;-33.0144;0;Bottom;i2c1
23;;;52.1133;-6.01165;-90;Bottom;TXT1
24;;;54.8522;-44.8857;0;Bottom;TXT1
25;;;26.1316;-6.04298;-90;Bottom;TXT1
26;;THT;58.2775;-20.9494;180;Bottom;pan
27;;;39.8145;-4.13231;0;Bottom;Copper Fill34
28;;;31.9786;-32.0214;0;Bottom;Copper Fill24
29;;;38.608;-18.9913;0;Bottom;Copper Fill23
30;;;17.78;-29.8752;0;Bottom;Copper Fill8
31;;;54.8502;-29.0848;0;Bottom;TXT1
32;;;53.6194;-48.125;0;Bottom;Copper Fill3
33;;;59.1058;-34.3456;0;Bottom;Copper Fill46
34;;;17.78;-29.8752;0;Bottom;Copper Fill28
35;;usb-b-pth;6.6564;-13.3093;0;Bottom;VCC 5V
36;;;54.991;-31.2087;0;Bottom;Copper Fill25
37;680;THT;37.3225;-46.3494;90;Bottom;R5
38;;;9.24424;-61.1599;-90;Bottom;TXT1
39;;;34.8488;-49.6744;0;Bottom;Copper Fill17
